¿Cuál es tu destino de interés en México?,¿Cuántas personas viajarán contigo?,¿Cuál es tu presupuesto aproximado para el viaje?,¿Qué tipo de alojamiento prefieres durante tu viaje?,¿Qué actividades te interesan más durante tu viaje?,¿En qué época del año planeas viajar?,¿Cómo te gustaría desplazarte durante tu estancia en México?,Submitted At,Token
Cancún,,Menos de $500,Hotel,Playa,Invierno,Transporte público,26/09/2024 10:32:00,niccflihcfkgzcc4x8niccfw4tsntu3l
Other,,,,,,,26/09/2024 9:43:21,gbo8beot8kf6wo4i8gbo8bwgijcf4chj
San Miguel de Allende,3,Más de $2000,Cabaña,Aventura y deportes extremos,Otoño,Alquilar un coche,26/09/2024 6:46:13,hs2j2ydcpn1odppquhs2j7xyq9zt2x56
Cancún,3,$1000 - $2000,Airbnb,Cultura y historia,Otoño,Servicios de transporte privado,26/09/2024 6:39:28,6izxvuwggcein5y16izxvdumht3ubprf
